,movie_title,duration,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,num_user_for_reviews,num_critic_for_reviews,num_voted_users,cast_total_facebook_likes,movie_facebook_likes,plot_keywords,facenumber_in_poster,color,title_year,language,country,content_rating,aspect_ratio,movie_imdb_link,gross,budget,imdb_score,genre_1,genre_2
11,Superman Returns ,169.0,Bryan Singer,0.0,Kevin Spacey,18000.0,Marlon Brando,10000.0,Frank Langella,903.0,2367.0,434.0,240396,29991,0,crystal|epic|lex luthor|lois lane|return to earth,0.0,Color,2006.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,200069408.0,209000000.0,6.1,Action,Adventure
12,Quantum of Solace ,106.0,Marc Forster,395.0,Giancarlo Giannini,451.0,Mathieu Amalric,412.0,Rory Kinnear,393.0,1243.0,403.0,330784,2023,0,action hero|attempted rape|bond girl|official james bond series|revenge,1.0,Color,2008.0,English,UK,PG-13,2.35,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,168368427.0,200000000.0,6.7,Action,Adventure
13,Pirates of the Caribbean: Dead Man's Chest ,151.0,Gore Verbinski,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,1832.0,313.0,522040,48486,5000,box office hit|giant squid|heart|liar's dice|monster,2.0,Color,2006.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,423032628.0,225000000.0,7.3,Action,Adventure
14,The Lone Ranger ,150.0,Gore Verbinski,563.0,Johnny Depp,40000.0,Ruth Wilson,2000.0,Tom Wilkinson,1000.0,711.0,450.0,181792,45757,48000,horse|outlaw|texas|texas ranger|train,1.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,89289910.0,215000000.0,6.5,Action,Adventure
15,Man of Steel ,143.0,Zack Snyder,0.0,Henry Cavill,15000.0,Christopher Meloni,3000.0,Harry Lennix,748.0,2536.0,733.0,548573,20495,118000,based on comic book|british actor playing american character|final battle|origin of hero|reboot,0.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,291021565.0,225000000.0,7.2,Action,Adventure
16,The Chronicles of Narnia: Prince Caspian ,150.0,Andrew Adamson,80.0,Peter Dinklage,22000.0,Pierfrancesco Favino,216.0,Damián Alcázar,201.0,438.0,258.0,149922,22697,0,brother brother relationship|brother sister relationship|good versus evil|king|narnia,4.0,Color,2008.0,English,USA,PG,2.35,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,141614023.0,225000000.0,6.6,Action,Adventure
17,The Avengers ,173.0,Joss Whedon,0.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,1722.0,703.0,995415,87697,123000,alien invasion|assassin|battle|iron man|soldier,3.0,Color,2012.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,623279547.0,220000000.0,8.1,Action,Adventure
18,Pirates of the Caribbean: On Stranger Tides ,136.0,Rob Marshall,252.0,Johnny Depp,40000.0,Sam Claflin,11000.0,Stephen Graham,1000.0,484.0,448.0,370704,54083,58000,blackbeard|captain|pirate|revenge|soldier,4.0,Color,2011.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,241063875.0,250000000.0,6.7,Action,Adventure
19,Men in Black 3 ,106.0,Barry Sonnenfeld,188.0,Will Smith,10000.0,Michael Stuhlbarg,816.0,Nicole Scherzinger,718.0,341.0,451.0,268154,12572,40000,alien|criminal|m.i.b.|maximum security prison|prison,1.0,Color,2012.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,179020854.0,225000000.0,6.8,Action,Adventure
20,The Hobbit: The Battle of the Five Armies ,164.0,Peter Jackson,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,802.0,422.0,354228,9152,65000,army|elf|hobbit|middle earth|orc,0.0,Color,2014.0,English,New Zealand,PG-13,2.35,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,255108370.0,250000000.0,7.5,Adventure,Fantasy
21,The Amazing Spider-Man ,153.0,Marc Webb,464.0,Emma Stone,15000.0,Andrew Garfield,10000.0,Chris Zylka,963.0,1225.0,599.0,451803,28489,56000,lizard|outcast|spider|spider man|teenager,0.0,Color,2012.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,262030663.0,230000000.0,7.0,Action,Adventure
22,Robin Hood ,156.0,Ridley Scott,0.0,Mark Addy,891.0,William Hurt,882.0,Scott Grimes,738.0,546.0,343.0,211765,3244,17000,1190s|archer|england|king of england|robin hood,0.0,Color,2010.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,105219735.0,200000000.0,6.7,Action,Adventure
23,The Hobbit: The Desolation of Smaug ,186.0,Peter Jackson,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,951.0,509.0,483540,9152,83000,dwarf|elf|lake town|mountain|sword and sorcery,6.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,258355354.0,225000000.0,7.9,Adventure,Fantasy
24,The Golden Compass ,113.0,Chris Weitz,129.0,Christopher Lee,16000.0,Eva Green,6000.0,Kristin Scott Thomas,1000.0,666.0,251.0,149019,24106,0,children|epic|friend|girl|quest,2.0,Color,2007.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,70083519.0,180000000.0,6.1,Adventure,Family
25,King Kong ,201.0,Peter Jackson,0.0,Naomi Watts,6000.0,Thomas Kretschmann,919.0,Evan Parke,84.0,2618.0,446.0,316018,7123,0,animal name in title|ape abducts a woman|gorilla|island|king kong,0.0,Color,2005.0,English,New Zealand,PG-13,2.35,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,218051260.0,207000000.0,7.2,Action,Adventure
26,Titanic ,194.0,James Cameron,0.0,Leonardo DiCaprio,29000.0,Kate Winslet,14000.0,Gloria Stuart,794.0,2528.0,315.0,793059,45223,26000,artist|love|ship|titanic|wet,0.0,Color,1997.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,658672302.0,200000000.0,7.7,Drama,Romance
27,Captain America: Civil War ,147.0,Anthony Russo,94.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Chris Evans,11000.0,1022.0,516.0,272670,64798,72000,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,0.0,Color,2016.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,407197282.0,250000000.0,8.2,Action,Adventure
28,Battleship ,131.0,Peter Berg,532.0,Liam Neeson,14000.0,Alexander Skarsgård,10000.0,Tadanobu Asano,627.0,751.0,377.0,202382,26679,44000,box office flop|hawaii|naval|oahu hawaii|ship,0.0,Color,2012.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,65173160.0,209000000.0,5.9,Action,Adventure
29,Jurassic World ,124.0,Colin Trevorrow,365.0,Bryce Dallas Howard,3000.0,Judy Greer,2000.0,Omar Sy,1000.0,1290.0,644.0,418214,8458,150000,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,0.0,Color,2015.0,English,USA,PG-13,2.0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,652177271.0,150000000.0,7.0,Action,Adventure
30,Skyfall ,143.0,Sam Mendes,0.0,Albert Finney,883.0,Helen McCrory,563.0,Rory Kinnear,393.0,1498.0,750.0,522030,2039,80000,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,0.0,Color,2012.0,English,UK,PG-13,2.35,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,304360277.0,200000000.0,7.8,Action,Adventure
31,Spider-Man 2 ,135.0,Sam Raimi,0.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0,1303.0,300.0,411164,43388,0,death|doctor|scientist|super villain|tentacle,1.0,Color,2004.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,373377893.0,200000000.0,7.3,Action,Adventure
32,Iron Man 3 ,195.0,Shane Black,1000.0,Robert Downey Jr.,21000.0,Jon Favreau,4000.0,Don Cheadle,3000.0,1187.0,608.0,557489,30426,95000,armor|explosion|human bomb|missile attack|terrorist,3.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,408992272.0,200000000.0,7.2,Action,Adventure
33,Alice in Wonderland ,108.0,Tim Burton,13000.0,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0,736.0,451.0,306320,79957,24000,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,0.0,Color,2010.0,English,USA,PG,1.85,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,334185206.0,200000000.0,6.5,Adventure,Family
34,X-Men: The Last Stand ,104.0,Brett Ratner,420.0,Hugh Jackman,20000.0,Kelsey Grammer,808.0,Daniel Cudmore,560.0,1912.0,334.0,383427,21714,0,battle|mutant|outrage|walking through a wall|x men,0.0,Color,2006.0,English,Canada,PG-13,2.35,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,234360014.0,210000000.0,6.8,Action,Adventure
35,Monsters University ,104.0,Dan Scanlon,37.0,Steve Buscemi,12000.0,Tyler Labine,779.0,Sean Hayes,760.0,265.0,376.0,235025,14863,44000,cheating|fraternity|monster|singing in a car|university,0.0,Color,2013.0,English,USA,G,1.85,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,268488329.0,200000000.0,7.3,Adventure,Animation
36,Transformers: Revenge of the Fallen ,150.0,Michael Bay,0.0,Glenn Morshower,894.0,Kevin Dunn,581.0,Ramon Rodriguez,464.0,1439.0,366.0,323207,3218,0,autobot|decepticon|machine|sun|symbol,0.0,Color,2009.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,402076689.0,200000000.0,6.0,Action,Adventure
37,Transformers: Age of Extinction ,165.0,Michael Bay,0.0,Bingbing Li,974.0,Sophia Myles,956.0,Kelsey Grammer,808.0,918.0,378.0,242420,3988,56000,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,2.0,Color,2014.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,245428137.0,210000000.0,5.7,Action,Adventure
38,Oz the Great and Powerful ,130.0,Sam Raimi,0.0,Tim Holmes,44000.0,Mila Kunis,15000.0,James Franco,11000.0,511.0,525.0,175409,73441,60000,circus|magic|magician|oz|witch,4.0,Color,2013.0,English,USA,PG,2.35,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,234903076.0,215000000.0,6.4,Adventure,Family
39,The Amazing Spider-Man 2 ,142.0,Marc Webb,464.0,Emma Stone,15000.0,Andrew Garfield,10000.0,B.J. Novak,825.0,1067.0,495.0,321227,28631,41000,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,0.0,Color,2014.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,202853933.0,200000000.0,6.7,Action,Adventure
40,TRON: Legacy ,125.0,Joseph Kosinski,364.0,Jeff Bridges,12000.0,Olivia Wilde,10000.0,James Frain,1000.0,665.0,469.0,264183,25550,30000,arcade|bridge|disappearance|escape|warrior,0.0,Color,2010.0,English,USA,PG,2.35,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,172051787.0,170000000.0,6.8,Action,Adventure
41,Cars 2 ,106.0,John Lasseter,487.0,Joe Mantegna,1000.0,Thomas Kretschmann,919.0,Eddie Izzard,776.0,283.0,304.0,101178,4482,10000,best friend|car race|conspiracy|gadget car|spy,0.0,Color,2011.0,English,USA,G,2.35,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,191450875.0,200000000.0,6.3,Adventure,Animation
42,Green Lantern ,123.0,Martin Campbell,258.0,Ryan Reynolds,16000.0,Temuera Morrison,368.0,Taika Waititi,326.0,550.0,436.0,223393,17657,24000,autopsy|lantern|planet|ring|test pilot,2.0,Color,2011.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,116593191.0,200000000.0,5.6,Action,Adventure
43,Toy Story 3 ,103.0,Lee Unkrich,125.0,Tom Hanks,15000.0,John Ratzenberger,1000.0,Don Rickles,721.0,733.0,453.0,544884,19085,30000,college|day care|escape|teddy bear|toy,3.0,Color,2010.0,English,USA,G,1.85,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,414984497.0,200000000.0,8.3,Adventure,Animation
44,Terminator Salvation ,118.0,McG,368.0,Christian Bale,23000.0,Bryce Dallas Howard,3000.0,Common,988.0,974.0,422.0,286095,27468,0,death row|future|machine|rescue|skynet,0.0,Color,2009.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,125320003.0,200000000.0,6.6,Action,Adventure
45,Furious 7 ,140.0,James Wan,0.0,Jason Statham,26000.0,Paul Walker,23000.0,Vin Diesel,14000.0,657.0,424.0,278232,79150,94000,car falling off a cliff|hospital|revenge|star died before release|terrorist,0.0,Color,2015.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,350034110.0,190000000.0,7.2,Action,Crime
46,World War Z ,123.0,Marc Forster,395.0,Peter Capaldi,17000.0,Brad Pitt,11000.0,Mireille Enos,1000.0,995.0,654.0,465019,32392,129000,chaos|disease|infection|pandemic|zombie,0.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,202351611.0,190000000.0,7.0,Action,Adventure
47,X-Men: Days of Future Past ,149.0,Bryan Singer,0.0,Jennifer Lawrence,34000.0,Peter Dinklage,22000.0,Hugh Jackman,20000.0,752.0,539.0,514125,91434,82000,dystopia|super strength|supernatural power|time paradox|time travel,7.0,Color,2014.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,233914986.0,200000000.0,8.0,Action,Adventure
48,Star Trek Into Darkness ,132.0,J.J. Abrams,14000.0,Benedict Cumberbatch,19000.0,Bruce Greenwood,981.0,Noel Clarke,928.0,1171.0,590.0,395573,21411,92000,admiral|captain|manhunt|mission|space,0.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,228756232.0,190000000.0,7.8,Action,Adventure
49,Jack the Giant Slayer ,114.0,Bryan Singer,0.0,Eddie Marsan,979.0,Ewen Bremner,557.0,Ralph Brown,140.0,205.0,338.0,106416,1766,22000,bean|giant|king|no opening credits|princess,1.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,65171860.0,195000000.0,6.3,Adventure,Fantasy
50,The Great Gatsby ,143.0,Baz Luhrmann,1000.0,Leonardo DiCaprio,29000.0,Elizabeth Debicki,509.0,Steve Bisley,77.0,753.0,490.0,362912,29770,115000,ingratitude|mansion|party|title appears in writing|tragedy,4.0,Color,2013.0,English,Australia,PG-13,2.35,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,144812796.0,105000000.0,7.3,Drama,Romance
51,Prince of Persia: The Sands of Time ,116.0,Mike Newell,179.0,Jake Gyllenhaal,15000.0,Richard Coyle,567.0,Reece Ritchie,236.0,453.0,306.0,222403,16149,23000,alamut|dagger|king|persia|princess,2.0,Color,2010.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,90755643.0,200000000.0,6.6,Action,Adventure
52,Pacific Rim ,131.0,Guillermo del Toro,0.0,Charlie Hunnam,16000.0,Clifton Collins Jr.,968.0,Larry Joe Campbell,919.0,1106.0,575.0,381148,19166,83000,giant monster|kaiju|pilot|portal|robot,0.0,Color,2013.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,101785482.0,190000000.0,7.0,Action,Adventure
53,Transformers: Dark of the Moon ,154.0,Michael Bay,0.0,Glenn Morshower,894.0,Lester Speight,829.0,Kevin Dunn,581.0,899.0,428.0,326180,2593,46000,autobot|decepticon|job interview|moon|spacecraft,2.0,Color,2011.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,352358779.0,195000000.0,6.3,Action,Adventure
54,Indiana Jones and the Kingdom of the Crystal Skull ,122.0,Steven Spielberg,14000.0,Harrison Ford,11000.0,Ray Winstone,1000.0,Jim Broadbent,1000.0,2054.0,470.0,333847,14959,5000,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,2.0,Color,2008.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,317011114.0,185000000.0,6.2,Action,Adventure
56,Brave ,93.0,Mark Andrews,56.0,Kelly Macdonald,2000.0,John Ratzenberger,1000.0,Julie Walters,838.0,428.0,488.0,273556,5005,39000,archery|coming of age|female warrior|princess|rebellious daughter,0.0,Color,2012.0,English,USA,PG,2.35,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,237282182.0,185000000.0,7.2,Adventure,Animation
57,Star Trek Beyond ,122.0,Justin Lin,681.0,Sofia Boutella,998.0,Melissa Roxburgh,119.0,Lydia Wilson,105.0,432.0,322.0,53607,1327,30000,hatred|sequel|space opera|star trek|third part,4.0,Color,2016.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,130468626.0,185000000.0,7.5,Action,Adventure
58,WALL·E ,98.0,Andrew Stanton,475.0,John Ratzenberger,1000.0,Fred Willard,729.0,Jeff Garlin,522.0,1043.0,421.0,718837,2975,16000,earth|obesity|plant|robot|soil,0.0,Color,2008.0,English,USA,G,2.35,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,223806889.0,180000000.0,8.4,Adventure,Animation
59,Rush Hour 3 ,91.0,Brett Ratner,420.0,Tzi Ma,268.0,Dana Ivey,268.0,Noémie Lenoir,173.0,221.0,162.0,121084,1125,0,ambassador|assassination|chinese|french|triad,2.0,Color,2007.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,140080850.0,140000000.0,6.2,Action,Comedy
60,2012 ,158.0,Roland Emmerich,776.0,Oliver Platt,1000.0,Liam James,468.0,Tom McCarthy,310.0,1055.0,367.0,283418,2144,13000,ark|catastrophe|geologist|president|writer,0.0,Color,2009.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,166112167.0,200000000.0,5.8,Action,Adventure
61,A Christmas Carol ,96.0,Robert Zemeckis,0.0,Robin Wright,18000.0,Colin Firth,14000.0,Gary Oldman,10000.0,249.0,240.0,72809,48878,0,charles dickens|christmas|christmas eve|ghost|scrooge,0.0,Color,2009.0,English,USA,PG,2.35,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,137850096.0,200000000.0,6.8,Animation,Drama
62,Jupiter Ascending ,127.0,Lana Wachowski,0.0,Channing Tatum,17000.0,Mila Kunis,15000.0,Eddie Redmayne,13000.0,720.0,384.0,139593,47334,44000,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,1.0,Color,2015.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,47375327.0,176000000.0,5.4,Action,Adventure
63,The Legend of Tarzan ,110.0,David Yates,282.0,Christoph Waltz,11000.0,Alexander Skarsgård,10000.0,Casper Crump,103.0,239.0,248.0,42372,21175,29000,africa|capture|jungle|male objectification|tarzan,2.0,Color,2016.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,124051759.0,180000000.0,6.6,Action,Adventure
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150.0,Andrew Adamson,80.0,Jim Broadbent,1000.0,Kiran Shah,190.0,Shane Rangi,82.0,1463.0,284.0,286506,1317,0,hide and seek|lion|magic|professor|snow,5.0,Color,2005.0,English,USA,PG,2.35,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,291709845.0,180000000.0,6.9,Adventure,Family
65,X-Men: Apocalypse ,144.0,Bryan Singer,0.0,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Tye Sheridan,1000.0,622.0,396.0,148379,49684,54000,mutant|superhero|superhero team|x men|year 1983,6.0,Color,2016.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,154985087.0,178000000.0,7.3,Action,Adventure
66,The Dark Knight ,152.0,Christopher Nolan,22000.0,Christian Bale,23000.0,Heath Ledger,13000.0,Morgan Freeman,11000.0,4667.0,645.0,1676169,57802,37000,based on comic book|dc comics|psychopath|star died before release|urban setting,0.0,Color,2008.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,533316061.0,185000000.0,9.0,Action,Crime
67,Up ,96.0,Pete Docter,0.0,John Ratzenberger,1000.0,Delroy Lindo,848.0,Jess Harnell,262.0,704.0,408.0,665575,2635,27000,balloon|house|promise|retirement|skeleton,1.0,Color,2009.0,English,USA,PG,1.85,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,292979556.0,175000000.0,8.3,Adventure,Animation
68,Monsters vs. Aliens ,94.0,Rob Letterman,11.0,Amy Poehler,1000.0,Rainn Wilson,973.0,Stephen Colbert,459.0,187.0,219.0,114553,2579,0,alien|alien invasion|alien space craft|giant|giantess,2.0,Color,2009.0,English,USA,PG,2.35,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,198332128.0,175000000.0,6.5,Action,Adventure
69,Iron Man ,126.0,Jon Favreau,4000.0,Robert Downey Jr.,21000.0,Jeff Bridges,12000.0,Jon Favreau,4000.0,1055.0,486.0,696338,39252,10000,afghanistan|billionaire|inventor|playboy|u.s. air force,3.0,Color,2008.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,318298180.0,140000000.0,7.9,Action,Adventure
70,Hugo ,126.0,Martin Scorsese,17000.0,Chloë Grace Moretz,17000.0,Christopher Lee,16000.0,Ray Winstone,1000.0,678.0,682.0,245333,36017,42000,automaton|mechanical|railway station|steampunk|train,0.0,Color,2011.0,English,USA,PG,1.85,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,73820094.0,170000000.0,7.5,Adventure,Drama
71,Wild Wild West ,106.0,Barry Sonnenfeld,188.0,Will Smith,10000.0,Salma Hayek,4000.0,Bai Ling,582.0,648.0,85.0,129601,15870,0,buddy movie|general|inventor|steampunk|utah,2.0,Color,1999.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,113745408.0,170000000.0,4.8,Action,Comedy
